date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:09	72/72	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:08%20GMT	https://metodolotosecreto.online/robots.txt		(from )
23:22:10	20259/20259	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2020:19:42%20GMT	https://metodolotosecreto.online/inicio/	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/index.html	(from )
23:22:11	14053/14053	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:47:27%20GMT	https://img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/RnhACs4762684.png	/home/danilinux/websites/escolametodoloto.site/img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/RnhACs4762684.png	(from https://metodolotosecreto.online/inicio/)
23:22:11	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:11%20GMT	https://fonts.gstatic.com/	/home/danilinux/websites/escolametodoloto.site/fonts.gstatic.com/index.html	(from https://metodolotosecreto.online/inicio/)
23:22:12	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:11%20GMT	https://fonts.googleapis.com/	/home/danilinux/websites/escolametodoloto.site/fonts.googleapis.com/index.html	(from https://metodolotosecreto.online/inicio/)
23:22:12	2763/2763	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Feb%202023%2002:22:11%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700;800&family=Roboto:wght@400;500;600;700;800&family=Montserrat:wght@400;500;600;700;800&display=swap	/home/danilinux/websites/escolametodoloto.site/fonts.googleapis.com/css259fc.css	(from https://metodolotosecreto.online/inicio/)
23:22:12	1219/1219	---M--	200	added ('OK')	image/jpeg	etag:%2280c8a993615bee556526ea07501a0fdf%22	https://images.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/thumbnail.jpg	/home/danilinux/websites/escolametodoloto.site/images.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/thumbnail.jpg	(from https://metodolotosecreto.online/inicio/)
23:22:14	8439/8439	---MCZ	200	added ('OK')	application/javascript	etag:W/%227cfc72da1aacde74efc7ee8c05b39128%22	https://scripts.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/player.js	/home/danilinux/websites/escolametodoloto.site/scripts.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/player.js	(from https://metodolotosecreto.online/inicio/)
23:22:15	53503/53503	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:47:30%20GMT	https://img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/aJycrq8668694.png	/home/danilinux/websites/escolametodoloto.site/img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/aJycrq8668694.png	(from https://metodolotosecreto.online/inicio/)
23:22:15	108696/108696	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2016%20Feb%202023%2002:22:15%20GMT	https://connect.facebook.net/en_US/fbevents.js	/home/danilinux/websites/escolametodoloto.site/connect.facebook.net/en_US/fbevents.js	(from https://metodolotosecreto.online/inicio/)
23:22:16	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2016%20Feb%202023%2002:22:16%20GMT	https://www.facebook.com/tr?id=635718011216670&ev=PageView&noscript=1	/home/danilinux/websites/escolametodoloto.site/www.facebook.com/tr.638dc.delayed	(from https://metodolotosecreto.online/inicio/)
23:22:17	8258/8258	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Dec%202022%2020:19:42%20GMT	https://metodolotosecreto.online/inicio/js/XhNgfm7182169.js	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/js/XhNgfm7182169.js	(from https://metodolotosecreto.online/inicio/)
23:22:19	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Feb%202023%2002:22:18%20GMT	https://fonts.googleapis.com/robots.txt		(from https://metodolotosecreto.online/inicio/)
23:22:19	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:19%20GMT	https://fonts.gstatic.com/robots.txt		(from https://metodolotosecreto.online/inicio/)
23:22:21	894/894	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Feb%202023%2002:22:20%20GMT	https://www.facebook.com/robots.txt		(from https://metodolotosecreto.online/inicio/)
23:22:22	8439/8439	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%227cfc72da1aacde74efc7ee8c05b39128%22	https://scripts.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/player.js	/home/danilinux/websites/escolametodoloto.site/scripts.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/player.js	(from https://metodolotosecreto.online/inicio/)
23:22:22	53503/53503	UR-MC-	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:47:30%20GMT	https://img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/aJycrq8668694.png	/home/danilinux/websites/escolametodoloto.site/img.imageboss.me/atm/cdn/u/SyYdQ0vjz4MMra470UDa49KSCgf2/l/aJycrq8668694.png	(from https://metodolotosecreto.online/inicio/)
23:22:23	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Feb%202023%2002:22:21%20GMT	https://fonts.googleapis.com/robots.txt		(from https://metodolotosecreto.online/inicio/)
23:22:23	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2016%20Feb%202023%2002:22:21%20GMT	https://images.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/thumbnail.jpg	/home/danilinux/websites/escolametodoloto.site/images.converteai.net/cd567dfe-c7af-40dc-a7b8-ad6f4b977128/players/63abb19b83a182000a0cf936/thumbnail.jpg	(from https://metodolotosecreto.online/inicio/)
23:22:23	776/776	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2016%20Feb%202023%2002:22:23%20GMT	https://metodolotosecreto.online/inicio/js/XhNgfm7182169.js	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/js/XhNgfm7182169.js	(from https://metodolotosecreto.online/inicio/)
23:22:24	55/55	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:24%20GMT	https://metodolotosecreto.online/inicio/c	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/c.8.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
23:22:24	55/55	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:24%20GMT	https://metodolotosecreto.online/inicio/b	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/b	(from https://connect.facebook.net/en_US/fbevents.js)
23:22:25	55/55	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:22:25%20GMT	https://metodolotosecreto.online/inicio/POST	/home/danilinux/websites/escolametodoloto.site/metodolotosecreto.online/inicio/POST	(from https://connect.facebook.net/en_US/fbevents.js)
